,,Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Mar 2019,RankChangeYear-on-Year,Median Salary6 Months to3 Mar 2019,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
7227,NA,XML Analyst,"1,102",50,"£66,500",26.66%,5 (0.003%),4
7228,NA,XML Tester,"1,102",-,"£42,500",-,5 (0.003%),NA
7229,NA,Compliance Project Manager,"1,102",80,"£70,000",27.27%,5 (0.003%),NA
7230,NA,Senior Systems Tester,"1,102",85,"£70,000",-,5 (0.003%),NA
7231,NA,Junior Information Security Analyst,"1,102",79,"£40,000",20.30%,5 (0.003%),1
7232,NA,Finance Modeller,"1,102",85,"£67,500",-32.50%,5 (0.003%),2
7233,NA,Infrastructure Support Technician,"1,102",72,"£30,000",9.09%,5 (0.003%),4
7234,NA,Web Content Executive,"1,102",-,"£32,500",-,5 (0.003%),NA
7235,NA,E-Marketing Specialist,"1,102",-,-,-,5 (0.003%),NA
7236,NA,Insight Consultant,"1,102",80,"£50,000",-,5 (0.003%),1
7237,NA,Insight Director,"1,102",72,"£98,450",2.28%,5 (0.003%),NA
7238,NA,CRM Implementation Consultant,"1,102",79,"£52,500",5.00%,5 (0.003%),NA
7239,NA,Audio Visual Support,"1,102",70,"£40,000",63.26%,5 (0.003%),1
7240,NA,Graduate Applications Support Analyst,"1,102",65,"£32,500",4.83%,5 (0.003%),2
7241,NA,Graduate Mobile Developer,"1,102",80,"£30,000",20.00%,5 (0.003%),1
7242,NA,Graduate Service Desk Analyst,"1,102",71,"£24,000",20.00%,5 (0.003%),1
7243,NA,Trainee Service Desk Analyst,"1,102",82,-,-,5 (0.003%),3
7244,NA,Trainee Systems Administrator,"1,102",85,"£20,000",-11.11%,5 (0.003%),NA
7245,NA,Graduate Cybersecurity Analyst,"1,102",84,"£26,000",-22.38%,5 (0.003%),NA
7246,NA,Graduate C++ Software Developer,"1,102",9,"£36,000",24.13%,5 (0.003%),6
7247,NA,Senior MI Analyst,"1,102",81,"£32,500",-21.21%,5 (0.003%),NA
7248,NA,MIS Developer,"1,102",66,"£29,327",-14.37%,5 (0.003%),1
7249,NA,MIS Administrator,"1,102",-,"£18,500",-,5 (0.003%),2
7250,NA,Virtualisation Technical Consultant,"1,102",65,"£62,500",-3.84%,5 (0.003%),1
7251,NA,Unix DBA,"1,102",76,"£57,000",-18.57%,5 (0.003%),NA
7252,NA,Dynamics NAV Project Manager,"1,102",63,"£50,000",-13.04%,5 (0.003%),NA
7253,NA,Junior Operations Engineer,"1,102",83,"£32,500",-35.00%,5 (0.003%),NA
7254,NA,Resource Planning Analyst,"1,102",81,"£42,500",63.17%,5 (0.003%),2
7255,NA,Collaboration Engineer,"1,102",62,"£47,500",5.55%,5 (0.003%),1
7256,NA,Electronic Trading Business Analyst,"1,102",85,"£90,000",-,5 (0.003%),NA
7257,NA,Electronic Trading C++ Developer,"1,102",67,"£100,000",-9.09%,5 (0.003%),2
7258,NA,AdWords Manager,"1,102",82,"£32,500",44.44%,5 (0.003%),NA
7259,NA,Communications Project Manager,"1,102",77,"£70,000",120.63%,5 (0.003%),NA
7260,NA,Communications Support Engineer,"1,102",84,"£42,500",6.25%,5 (0.003%),1
7261,NA,Salesforce Tester,"1,102",77,"£50,000",49.25%,5 (0.003%),1
7262,NA,Senior Middleware Engineer,"1,102",85,"£57,500",9.52%,5 (0.003%),NA
7263,NA,Financial Software Developer,"1,102",82,"£50,000",-16.66%,5 (0.003%),NA
7264,NA,Junior Automation Test Analyst,"1,102",85,"£22,500",-15.09%,5 (0.003%),2
7265,NA,Junior Automation Tester,"1,102",78,"£28,250",-13.07%,5 (0.003%),6
7266,NA,Business Transformation Analyst,"1,102",60,"£70,000",40.00%,5 (0.003%),NA
7267,NA,Senior Content Designer,"1,102",85,"£57,621",-0.76%,5 (0.003%),1
7268,NA,OTC Derivatives Business Analyst,"1,102",82,"£82,500",-,5 (0.003%),NA
7269,NA,Technical Coordinator,"1,102",80,"£27,500",3.77%,5 (0.003%),2
7270,NA,Senior Innovation Manager,"1,102",-,-,-,5 (0.003%),NA
7271,NA,Contract Management Executive,"1,102",-,"£180,000",-,5 (0.003%),NA
7272,NA,Digital Marketing Architect,"1,102",83,"£87,500",6.06%,5 (0.003%),NA
7273,NA,Cassandra Consultant,"1,102",85,"£90,000",-,5 (0.003%),NA
7274,NA,Redshift Developer,"1,102",84,"£40,000",-33.33%,5 (0.003%),1
7275,NA,Field Service Hardware Engineer,"1,102",80,"£25,000",-16.66%,5 (0.003%),5
7276,NA,Electronics Hardware Engineer,"1,102",71,"£57,500",43.75%,5 (0.003%),6
7277,NA,CyberArk Administrator,"1,102",-,"£57,500",-,5 (0.003%),NA
7278,NA,Geospatial Engineer,"1,102",-,"£61,500",-,5 (0.003%),NA
7279,NA,Geospatial Architect,"1,102",79,-,-,5 (0.003%),NA
7280,NA,Data Visualisation Expert,"1,102",76,"£42,500",-,5 (0.003%),NA
7281,NA,Test Technician,"1,102",75,"£23,000",-23.33%,5 (0.003%),52
7282,NA,Network Delivery Manager,"1,102",67,"£60,000",-11.11%,5 (0.003%),1
7283,NA,Cyber Security Incident Manager,"1,102",78,"£57,500",-26.21%,5 (0.003%),1
7284,NA,IAM Developer,"1,102",81,"£55,000",-4.34%,5 (0.003%),2
7285,NA,Sage Support,"1,102",28,"£25,000",-35.06%,5 (0.003%),21
7286,NA,Software Test Specialist,"1,102",84,"£47,500",-,5 (0.003%),NA
7287,NA,Facilitator,"1,102",81,"£30,000",-7.69%,5 (0.003%),NA
7288,NA,Cyber Threat Intelligence Manager,"1,102",85,-,-,5 (0.003%),NA
7289,NA,Remote Support Analyst,"1,102",82,"£22,500",-10.00%,5 (0.003%),2
7290,NA,Banking Infrastructure Architect,"1,102",83,"£110,000",29.41%,5 (0.003%),NA
7291,NA,Data Science Expert,"1,102",83,-,-,5 (0.003%),3
7292,NA,Help Desk Agent,"1,102",84,"£25,851",-2.44%,5 (0.003%),NA
7293,NA,T24 Business Analyst,"1,102",82,"£70,000",-6.66%,5 (0.003%),NA
7294,NA,Software Implementation Trainer,"1,102",85,"£50,000",66.66%,5 (0.003%),NA
7295,NA,Kubernetes Architect,"1,102",77,"£90,000",16.12%,5 (0.003%),NA
7296,NA,Data Integration Engineer,"1,102",76,"£60,000",20.00%,5 (0.003%),3
7297,NA,Vulnerability Management Engineer,"1,102",82,-,-,5 (0.003%),NA
7298,NA,Appian Developer,"1,102",84,-,-,5 (0.003%),NA
7299,NA,Fibre Analyst,"1,102",-,-,-,5 (0.003%),NA
7300,NA,ZENworks,"1,102",-,"£32,500",-,5 (0.003%),NA
7301,NA,CA Spectrum,"1,102",81,"£41,625",-40.53%,5 (0.003%),NA
7302,NA,MobiControl,"1,102",-,"£42,500",-,5 (0.003%),NA
7303,NA,WebSphere Cast Iron,"1,102",80,-,-,5 (0.003%),NA
7304,NA,TrustSec,"1,102",72,"£52,500",5.00%,5 (0.003%),2
7305,NA,SnapMirror,"1,102",81,"£42,500",-37.03%,5 (0.003%),2
7306,NA,Wonderware InTouch,"1,102",82,"£46,000",31.42%,5 (0.003%),NA
7307,NA,Forum Sentry,"1,102",85,"£52,500",-,5 (0.003%),NA
7308,NA,PowerBroker,"1,102",76,"£90,000",12.50%,5 (0.003%),NA
7309,NA,Zapier,"1,102",83,"£42,500",37.09%,5 (0.003%),2
7310,NA,Quay.io,"1,102",-,"£35,000",-,5 (0.003%),4
7311,NA,Algolia,"1,102",84,"£52,500",-4.54%,5 (0.003%),6
7312,NA,Wit.ai,"1,102",85,"£80,000",77.77%,5 (0.003%),NA
7313,NA,Runscope,"1,102",73,-,-,5 (0.003%),NA
7314,NA,S-PLUS,"1,103",69,"£38,750",-51.56%,4 (0.003%),2
7315,NA,ArchiCAD,"1,103",-,"£34,250",-,4 (0.003%),3
7316,NA,CorelDRAW,"1,103",79,"£40,000",-,4 (0.003%),NA
7317,NA,TargetLink,"1,103",81,"£52,500",10.52%,4 (0.003%),5
7318,NA,EPLAN,"1,103",75,"£35,750",10.00%,4 (0.003%),17
7319,NA,Mathcad,"1,103",81,"£55,000",10.00%,4 (0.003%),4
7320,NA,UserZoom,"1,103",83,"£49,000",17.36%,4 (0.003%),4
7321,NA,Avid Media Composer,"1,103",81,"£35,000",-4.10%,4 (0.003%),NA
7322,NA,iWork,"1,103",84,-,-,4 (0.003%),NA
7323,NA,Chordiant,"1,103",76,"£70,000",-6.66%,4 (0.003%),1
7324,NA,SunGard,"1,103",71,"£70,000",5.66%,4 (0.003%),5
7325,NA,Retek,"1,103",83,-,-,4 (0.003%),NA
7326,NA,MathWorks,"1,103",78,"£52,500",16.66%,4 (0.003%),11
7327,NA,3Com,"1,103",61,"£33,750",-43.75%,4 (0.003%),3
7328,NA,QAD,"1,103",74,"£45,000",-7.69%,4 (0.003%),1
7329,NA,Serena,"1,103",78,"£42,750",3.63%,4 (0.003%),2
7330,NA,Maconomy,"1,103",81,"£75,000",-3.22%,4 (0.003%),3
7331,NA,PTC,"1,103",81,"£47,500",-20.16%,4 (0.003%),10
7332,NA,GUPTA,"1,103",83,"£42,500",21.42%,4 (0.003%),NA
7333,NA,Meridio,"1,103",83,"£35,000",-,4 (0.003%),NA
7334,NA,ANSYS,"1,103",66,"£31,500",-21.25%,4 (0.003%),8
7335,NA,SEEBURGER,"1,103",77,-,-,4 (0.003%),NA
7336,NA,Trayport,"1,103",80,"£70,000",-6.66%,4 (0.003%),3
7337,NA,Actix,"1,103",83,"£57,500",-,4 (0.003%),NA
7338,NA,Hitwise,"1,103",70,"£26,000",-7.14%,4 (0.003%),3
7339,NA,Jaspersoft,"1,103",57,"£67,500",17.39%,4 (0.003%),NA
7340,NA,Dot Hill,"1,103",-,"£42,500",-,4 (0.003%),NA
7341,NA,"SOASTA, Inc","1,103",81,"£63,500",27.00%,4 (0.003%),NA
7342,NA,Mashery,"1,103",80,"£92,500",37.03%,4 (0.003%),2
7343,NA,Nebu,"1,103",84,"£28,750",-4.16%,4 (0.003%),1
7344,NA,Recommind,"1,103",76,"£40,000",-27.27%,4 (0.003%),NA
7345,NA,Crazy Egg,"1,103",81,"£52,500",10.52%,4 (0.003%),2
7346,NA,Yealink,"1,103",79,"£50,500",23.17%,4 (0.003%),NA
7347,NA,Thales,"1,103",71,"£55,000",12.24%,4 (0.003%),3
7348,NA,jetNEXUS,"1,103",81,"£43,500",-27.50%,4 (0.003%),1
7349,NA,Sawtooth Software,"1,103",82,"£90,000",100.00%,4 (0.003%),NA
7350,NA,ConsenSys,"1,103",-,"£90,000",-,4 (0.003%),NA
7351,NA,Centreon,"1,103",-,"£40,750",-,4 (0.003%),1
7352,NA,ProClarity,"1,103",-,"£42,000",-,4 (0.003%),NA
7353,NA,PerformancePoint,"1,103",66,"£56,250",32.35%,4 (0.003%),6
7354,NA,Marketing Intelligence,"1,103",61,"£45,000",-25.00%,4 (0.003%),1
7355,NA,Programme Office Management,"1,103",-,"£75,000",-,4 (0.003%),NA
7356,NA,Email Management,"1,103",67,"£70,000",102.89%,4 (0.003%),3
7357,NA,Content Analysis,"1,103",77,"£75,000",42.85%,4 (0.003%),NA
7358,NA,Quote-to-Cash,"1,103",61,-,-,4 (0.003%),3
7359,NA,Remote Infrastructure Management,"1,103",81,"£70,000",-,4 (0.003%),2
7360,NA,Liability-Driven Investment,"1,103",82,"£61,250",-23.43%,4 (0.003%),1
7361,NA,Broadcast Engineering,"1,103",72,-,-,4 (0.003%),1
7362,NA,ChatOps,"1,103",84,"£71,250",1.78%,4 (0.003%),NA
7363,NA,Filmmaking,"1,103",-,"£55,000",-,4 (0.003%),1
7364,NA,Post-Campaign Analysis,"1,103",70,"£32,000",-46.66%,4 (0.003%),3
7365,NA,Scorecard Development,"1,103",82,"£35,000",-,4 (0.003%),1
7366,NA,Credit Risk Analysis,"1,103",74,"£60,000",23.07%,4 (0.003%),3
7367,NA,Contextual Inquiry,"1,103",-,"£37,500",-,4 (0.003%),5
7368,NA,Co-Design,"1,103",81,"£70,000",-,4 (0.003%),3
7369,NA,DAMA,"1,103",73,"£82,500",43.47%,4 (0.003%),2
7370,NA,CatOS,"1,103",82,-,-,4 (0.003%),1
7371,NA,SafeRTOS,"1,103",65,"£50,000",-,4 (0.003%),1
7372,NA,PL/1,"1,103",75,"£90,000",-5.26%,4 (0.003%),1
7373,NA,SAPscript,"1,103",38,"£60,000",9.09%,4 (0.003%),4
7374,NA,PeopleCode,"1,103",72,"£42,500",-22.72%,4 (0.003%),NA
7375,NA,Natural,"1,103",81,"£55,000",26.02%,4 (0.003%),2
7376,NA,tcsh,"1,103",-,"£40,192",-,4 (0.003%),NA
7377,NA,RPG III,"1,103",84,-,-,4 (0.003%),1
7378,NA,APL,"1,103",81,"£65,000",-13.33%,4 (0.003%),NA
7379,NA,ANSI C,"1,103",84,"£55,000",-,4 (0.003%),NA
7380,NA,X.400,"1,103",49,"£50,000",11.11%,4 (0.003%),NA
7381,NA,Q.931,"1,103",81,"£52,500",23.52%,4 (0.003%),NA
7382,NA,WiMAX,"1,103",78,-,-,4 (0.003%),3
7383,NA,Gigabit Ethernet,"1,103",79,"£36,500",-18.88%,4 (0.003%),3
7384,NA,RANAP,"1,103",46,"£52,500",-4.54%,4 (0.003%),1
7385,NA,HSPA,"1,103",80,"£57,500",-,4 (0.003%),1
7386,NA,MRTG,"1,103",59,"£67,500",22.72%,4 (0.003%),4
7387,NA,iBeacon,"1,103",76,-,-,4 (0.003%),1
7388,NA,Value-Added Service,"1,103",60,"£32,500",-27.77%,4 (0.003%),1
7389,NA,HbbTV,"1,103",81,"£65,000",-,4 (0.003%),NA
7390,NA,Z-Wave,"1,103",77,"£52,500",7.69%,4 (0.003%),7
7391,NA,IRCA,"1,103",71,"£67,500",35.00%,4 (0.003%),3
7392,NA,CCEA,"1,103",68,"£46,750",-6.50%,4 (0.003%),2
7393,NA,Server+ Certification,"1,103",69,"£27,500",-46.34%,4 (0.003%),NA
7394,NA,CPTE,"1,103",-,-,-,4 (0.003%),1
7395,NA,NCSIE,"1,103",-,"£50,000",-,4 (0.003%),4
7396,NA,CCIE Data Center,"1,103",60,"£68,750",-8.33%,4 (0.003%),NA
7397,NA,21 CFR Part 11,"1,103",82,"£56,250",2.27%,4 (0.003%),2
7398,NA,SNOMED CT,"1,103",83,"£60,000",-11.11%,4 (0.003%),NA
7399,NA,DO-160,"1,103",77,"£55,000",2.32%,4 (0.003%),4
7400,NA,FISMA,"1,103",79,"£60,000",9.09%,4 (0.003%),NA
7401,NA,GPG for Computer-Based Electronic Evidence,"1,103",-,"£52,000",-,4 (0.003%),NA
7402,NA,NEBOSH,"1,103",70,"£27,500",-45.00%,4 (0.003%),22
7403,NA,FINRA,"1,103",84,-,-,4 (0.003%),NA
7404,NA,HAZOP,"1,103",81,"£55,000",-15.38%,4 (0.003%),11
7405,NA,Web Services Management,"1,103",80,"£35,000",-12.50%,4 (0.003%),NA
7406,NA,JFC,"1,103",-,"£35,000",-,4 (0.003%),5
7407,NA,WSE,"1,103",-,"£60,000",-,4 (0.003%),2
7408,NA,Kohana,"1,103",83,"£37,500",-11.76%,4 (0.003%),NA
7409,NA,RichFaces,"1,103",71,-,-,4 (0.003%),NA
7410,NA,Murex MxML,"1,103",69,"£90,000",20.00%,4 (0.003%),1
7411,NA,RESTEasy,"1,103",75,"£95,000",8.57%,4 (0.003%),6
7412,NA,HTML5 Boilerplate,"1,103",79,-,-,4 (0.003%),NA
7413,NA,Qt Quick,"1,103",81,"£47,500",11.76%,4 (0.003%),1
7414,NA,Apache Commons,"1,103",83,"£50,000",25.00%,4 (0.003%),2
7415,NA,Alternative PHP Cache,"1,103",-,-,-,4 (0.003%),NA
7416,NA,GeoJSON,"1,103",-,"£75,000",-,4 (0.003%),1
7417,NA,Bokeh,"1,103",78,"£80,000",49.53%,4 (0.003%),4
7418,NA,RxCocoa,"1,103",-,"£60,000",-,4 (0.003%),NA
7419,NA,Parceljs,"1,103",-,"£35,000",-,4 (0.003%),NA
7420,NA,LiveLink,"1,103",73,"£48,000",-33.79%,4 (0.003%),1
7421,NA,DataSynapse,"1,103",72,"£97,500",34.48%,4 (0.003%),1
7422,NA,Captiva,"1,103",-,"£38,000",-,4 (0.003%),4
7423,NA,Introscope,"1,103",80,"£100,000",100.00%,4 (0.003%),1
7424,NA,MbUnit,"1,103",84,-,-,4 (0.003%),2
7425,NA,Rational Application Developer,"1,103",84,"£50,000",5.26%,4 (0.003%),NA
7426,NA,Codeception,"1,103",53,"£32,500",-31.57%,4 (0.003%),5
7427,NA,Equity Risk,"1,103",81,"£102,500",51.85%,4 (0.003%),2
7428,NA,Oracle Exalytics,"1,103",-,"£50,000",-,4 (0.003%),NA
7429,NA,mHealth,"1,103",82,-,-,4 (0.003%),3
7430,NA,EMC VNXe,"1,103",-,-,-,4 (0.003%),NA
7431,NA,Synthetic Equity,"1,103",83,"£77,500",-24.39%,4 (0.003%),NA
7432,NA,TMS320,"1,103",84,"£45,000",12.50%,4 (0.003%),6
7433,NA,BASE24,"1,103",58,"£20,000",-63.63%,4 (0.003%),2
7434,NA,Global One,"1,103",-,"£47,500",-,4 (0.003%),2
7435,NA,Capstone,"1,103",84,"£85,000",41.66%,4 (0.003%),NA
7436,NA,Tesseract,"1,103",-,"£85,000",-,4 (0.003%),1
7437,NA,Minerva,"1,103",84,"£85,000",-,4 (0.003%),NA
7438,NA,GoldMine,"1,103",-,"£60,000",-,4 (0.003%),NA
7439,NA,Infor CloudSuite Industrial (formerly SyteLine),"1,103",60,"£41,000",9.33%,4 (0.003%),2
7440,NA,TIBCO BusinessEvents,"1,103",77,-,-,4 (0.003%),NA
7441,NA,Oracle BRM,"1,103",-,"£87,500",-,4 (0.003%),NA
7442,NA,MoSes,"1,103",-,"£56,000",-,4 (0.003%),8
7443,NA,RiskWrite,"1,103",78,"£61,250",-,4 (0.003%),NA
7444,NA,Oracle E-Business Tax,"1,103",71,"£65,000",36.84%,4 (0.003%),3
7445,NA,Concordance,"1,103",62,"£40,000",-27.27%,4 (0.003%),NA
7446,NA,SAP CAR,"1,103",50,"£71,250",23.91%,4 (0.003%),1
7447,NA,SAP Forecasting and Replenishment,"1,103",57,"£56,250",18.42%,4 (0.003%),2
7448,NA,Slurm Workload Manager,"1,103",77,"£150,000",284.61%,4 (0.003%),5
7449,NA,SkyDNS,"1,103",-,-,-,4 (0.003%),NA
7450,NA,Database Consultant,"1,103",62,"£68,750",30.95%,4 (0.003%),2
7451,NA,Games Programmer,"1,103",50,"£30,000",-45.45%,4 (0.003%),27
7452,NA,Help Desk Trainee,"1,103",-,"£21,500",-,4 (0.003%),13
7453,NA,Cognos Specialist,"1,103",81,"£52,500",40.00%,4 (0.003%),2
7454,NA,SAP PS Consultant,"1,103",68,"£63,750",-4.85%,4 (0.003%),3
7455,NA,Calypso Developer,"1,103",81,"£61,250",22.50%,4 (0.003%),1
7456,NA,GIS Developer,"1,103",79,"£42,500",-5.55%,4 (0.003%),8
7457,NA,Solaris Systems Administrator,"1,103",82,-,-,4 (0.003%),NA
7458,NA,Exchange Administrator,"1,103",58,"£75,000",114.28%,4 (0.003%),5
7459,NA,COBOL Analyst Programmer,"1,103",73,"£50,000",-11.11%,4 (0.003%),1
7460,NA,Senior Storage Consultant,"1,103",84,"£50,000",-16.66%,4 (0.003%),NA
7461,NA,RF Design Engineer,"1,103",74,"£35,000",-22.22%,4 (0.003%),18
7462,NA,Senior Support Consultant,"1,103",80,"£60,000",9.09%,4 (0.003%),3
7463,NA,Requirements Analyst,"1,103",69,"£45,250",7.10%,4 (0.003%),NA
7464,NA,Cisco Administrator,"1,103",56,"£48,750",8.33%,4 (0.003%),NA
7465,NA,Logistics Manager,"1,103",67,"£60,000",4.34%,4 (0.003%),5
7466,NA,Senior SAP BW Consultant,"1,103",80,"£80,000",-,4 (0.003%),1
7467,NA,Billing Project Manager,"1,103",-,-,-,4 (0.003%),NA
7468,NA,J2EE Technical Architect,"1,103",79,"£80,000",6.66%,4 (0.003%),NA
7469,NA,Senior Python Programmer,"1,103",76,"£50,000",-16.66%,4 (0.003%),NA
7470,NA,Senior Oracle Applications Consultant,"1,103",-,"£55,000",-,4 (0.003%),NA
7471,NA,Senior Oracle Functional Consultant,"1,103",83,"£75,000",-,4 (0.003%),NA
7472,NA,Senior Disaster Recovery Analyst,"1,103",-,"£48,500",-,4 (0.003%),NA
7473,NA,Project Office Analyst,"1,103",83,"£26,000",-29.01%,4 (0.003%),NA
7474,NA,Senior SAS Developer,"1,103",78,"£55,000",-15.38%,4 (0.003%),NA
7475,NA,Senior Ab Initio Developer,"1,103",-,"£72,500",-,4 (0.003%),NA
7476,NA,Network Support Specialist,"1,103",74,"£30,750",-44.09%,4 (0.003%),NA
7477,NA,Senior SAP Developer,"1,103",78,"£63,750",15.90%,4 (0.003%),NA
7478,NA,Senior Graphic Designer,"1,103",75,"£42,500",13.33%,4 (0.003%),1
7479,NA,Senior Mechanical Design Engineer,"1,103",78,"£55,000",15.78%,4 (0.003%),10
7480,NA,Unix Security Engineer,"1,103",82,"£47,500",-5.00%,4 (0.003%),NA
7481,NA,Senior SAP Basis Consultant,"1,103",78,"£65,000",-,4 (0.003%),NA
7482,NA,Photoshop Designer,"1,103",81,"£42,500",33.85%,4 (0.003%),3
7483,NA,TIBCO Architect,"1,103",71,-,-,4 (0.003%),NA
7484,NA,COBOL Analyst,"1,103",73,"£50,000",-11.11%,4 (0.003%),1
7485,NA,Firewall Support,"1,103",71,"£35,000",-6.66%,4 (0.003%),2
7486,NA,Hyperion Developer,"1,103",80,"£60,000",-,4 (0.003%),2
7487,NA,Oracle Applications Support,"1,103",56,"£55,000",25.00%,4 (0.003%),1
7488,NA,Chief Operating Officer,"1,103",80,"£107,500",2.38%,4 (0.003%),1
7489,NA,Integration Test Analyst,"1,103",71,"£44,750",-36.07%,4 (0.003%),2
7490,NA,Audio Software Engineer,"1,103",83,"£45,000",-,4 (0.003%),7
7491,NA,Senior Buyer,"1,103",82,-,-,4 (0.003%),7
7492,NA,Messaging Architect,"1,103",79,"£90,000",20.00%,4 (0.003%),1
7493,NA,Senior C++ Applications Developer,"1,103",83,"£70,000",40.00%,4 (0.003%),NA
7494,NA,Senior Sales Consultant,"1,103",72,"£120,000",400.00%,4 (0.003%),NA
7495,NA,SAP Security Analyst,"1,103",66,"£55,000",37.50%,4 (0.003%),1
7496,NA,Senior Integration Engineer,"1,103",67,"£35,000",-46.15%,4 (0.003%),3
7497,NA,Service Integration Manager,"1,103",84,"£65,000",6.55%,4 (0.003%),NA
7498,NA,Service Delivery Director,"1,103",71,"£100,000",33.33%,4 (0.003%),1
7499,NA,Problem Management Specialist,"1,103",79,"£50,000",1.01%,4 (0.003%),NA
7500,NA,Campaign Analyst,"1,103",77,"£37,500",7.14%,4 (0.003%),2
7501,NA,GUI Developer,"1,103",53,"£92,500",208.33%,4 (0.003%),4
7502,NA,Support Supervisor,"1,103",75,"£40,000",40.35%,4 (0.003%),2
7503,NA,Software Project Leader,"1,103",71,"£63,750",18.60%,4 (0.003%),2
7504,NA,Performance Test Manager,"1,103",77,"£67,500",3.44%,4 (0.003%),NA
7505,NA,Senior Supply Chain Manager,"1,103",81,"£83,500",19.28%,4 (0.003%),NA
7506,NA,Graduate Implementation Consultant,"1,103",-,"£27,500",-,4 (0.003%),2
7507,NA,Data Quality Specialist,"1,103",84,"£70,000",-,4 (0.003%),2
7508,NA,Senior Pricing Analyst,"1,103",80,"£61,000",6.08%,4 (0.003%),1
7509,NA,iPhone Developer,"1,103",79,"£60,000",60.00%,4 (0.003%),NA
7510,NA,Genesys Consultant,"1,103",82,"£62,500",-13.79%,4 (0.003%),NA
7511,NA,EPoS Developer,"1,103",-,"£37,500",-,4 (0.003%),NA
7512,NA,Tivoli Specialist,"1,103",80,"£50,000",1.01%,4 (0.003%),NA
7513,NA,Lead Security Consultant,"1,103",54,"£60,000",-31.42%,4 (0.003%),1
7514,NA,Web Analytics Manager,"1,103",58,"£56,250",25.00%,4 (0.003%),3
7515,NA,Storage Architect,"1,103",58,"£77,500",3.33%,4 (0.003%),4
7516,NA,Senior Project Support Officer,"1,103",84,-,-,4 (0.003%),1
7517,NA,Business Process Specialist,"1,103",78,"£62,500",-34.21%,4 (0.003%),NA
7518,NA,Head of Procurement,"1,103",-,"£90,000",-,4 (0.003%),4
7519,NA,Oracle Supply Chain Functional Consultant,"1,103",-,"£61,250",-,4 (0.003%),NA
7520,NA,Service Improvement Manager,"1,103",46,"£47,500",-17.39%,4 (0.003%),NA
7521,NA,Knowledge Analyst,"1,103",84,"£33,000",-12.00%,4 (0.003%),NA
7522,NA,Desktop Support Administrator,"1,103",75,"£35,000",7.69%,4 (0.003%),2
7523,NA,Installation Technician,"1,103",81,"£42,500",88.88%,4 (0.003%),8
7524,NA,Middleware Architect,"1,103",53,"£73,750",-13.23%,4 (0.003%),2
7525,NA,JDE Business Analyst,"1,103",72,"£52,500",-,4 (0.003%),NA
7526,NA,Oracle BI Consultant,"1,103",77,"£75,000",42.85%,4 (0.003%),1
7527,NA,Chief Enterprise Architect,"1,103",72,"£96,250",1.31%,4 (0.003%),NA
7528,NA,Business Strategy Consultant,"1,103",79,"£80,000",60.00%,4 (0.003%),NA
7529,NA,Operational Risk Manager,"1,103",75,"£90,000",71.42%,4 (0.003%),1
7530,NA,Internal Communications Manager,"1,103",76,-,-,4 (0.003%),NA
7531,NA,Electrical Design Engineer,"1,103",79,"£32,500",-8.45%,4 (0.003%),38
7532,NA,Software Deployment Engineer,"1,103",77,"£75,000",36.36%,4 (0.003%),2
7533,NA,Middle Office Analyst,"1,103",80,"£57,500",-26.98%,4 (0.003%),NA
7534,NA,FX Support Analyst,"1,103",59,"£51,250",-30.50%,4 (0.003%),NA
7535,NA,Operations Project Manager,"1,103",77,"£46,500",16.25%,4 (0.003%),NA
7536,NA,Commercial Contracts Manager,"1,103",74,"£80,000",60.00%,4 (0.003%),1
7537,NA,Email Marketing Manager,"1,103",79,"£58,750",56.66%,4 (0.003%),5
7538,NA,Package Solution Consultant,"1,103",84,"£82,500",65.00%,4 (0.003%),NA
7539,NA,Change and Release Analyst,"1,103",82,"£48,750",95.00%,4 (0.003%),NA
7540,NA,Performance Reporting Analyst,"1,103",83,-,-,4 (0.003%),NA
7541,NA,Change and Configuration Manager,"1,103",68,"£52,500",-16.00%,4 (0.003%),5
7542,NA,TM1 Specialist,"1,103",83,"£55,000",-,4 (0.003%),NA
7543,NA,SLA Manager,"1,103",84,"£77,500",29.16%,4 (0.003%),NA
7544,NA,Taleo Consultant,"1,103",73,-,-,4 (0.003%),1
7545,NA,Hyperion Specialist,"1,103",-,"£67,500",-,4 (0.003%),1
7546,NA,Data Compliance Analyst,"1,103",83,"£28,735",-11.58%,4 (0.003%),2
7547,NA,Data Compliance Officer,"1,103",73,"£35,000",-17.64%,4 (0.003%),2
7548,NA,Bluetooth Developer,"1,103",-,"£45,000",-,4 (0.003%),1
7549,NA,Malware Analyst,"1,103",82,"£50,000",-16.66%,4 (0.003%),2
7550,NA,ICT Support Officer,"1,103",-,"£40,000",-,4 (0.003%),3
7551,NA,Splunk Engineer,"1,103",54,-,-,4 (0.003%),5
7552,NA,Splunk Specialist,"1,103",79,"£62,500",-,4 (0.003%),NA
7553,NA,Avaya Support Engineer,"1,103",-,"£41,500",-,4 (0.003%),1
7554,NA,Business Objects Architect,"1,103",-,"£71,250",-,4 (0.003%),NA
7555,NA,Junior ETL Developer,"1,103",79,"£46,750",46.55%,4 (0.003%),NA
7556,NA,PhoneGap Developer,"1,103",84,"£72,500",-,4 (0.003%),NA
7557,NA,Senior Cisco VoIP Engineer,"1,103",-,"£57,500",-,4 (0.003%),1
